Time,Water
2009-01,20
2009-02,20
2009-03,20
2009-04,20
2009-05,20
2009-06,20
2009-07,20
2009-08,20
2009-09,20
2009-10,20
2009-11,20
2009-12,20
2010-01,20
2010-02,20
2010-03,20
2010-04,20
2010-05,20
2010-06,20
2010-07,20
2010-08,20
2010-09,20
2010-10,20
2010-11,20
2010-12,20
2011-01,20
2011-02,20
2011-03,20
2011-04,20
2011-05,20
2011-06,20
2011-07,20
2011-08,20
2011-09,20
2011-10,20
2011-11,20
2011-12,20
2012-01,20
2012-02,20
2012-03,20
2012-04,20
2012-05,20
2012-06,20
2012-07,20
2012-08,20
2012-09,20
2012-10,20
2012-11,20
2012-12,20
2013-01,20
2013-02,20
2013-03,20
2013-04,20
2013-05,20
2013-06,20
2013-07,20
2013-08,24
2013-09,24
2013-10,24
2013-11,24
2013-12,24
2014-01,24
2014-02,24
2014-03,24
2014-04,24
2014-05,23
2014-06,23
2014-07,0
2014-08,72
2014-09,27
2014-10,27
2014-11,42
2014-12,30
2015-01,0
2015-02,31
2015-03,27
2015-04,27
2015-05,27
2015-06,28
2015-07,28
2015-08,31
2015-09,27
2015-10,27
2015-11,27
2015-12,24
